关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
桂圆红枣粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核,整餐候选,主食,米及制品|水果,桂圆红枣粥以米配枣桂圆熬粥，作为整餐主食。
艇仔粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,米及制品|鱼类|虾蟹贝类,艇仔粥以米粥配鱼生海鲜，作为整餐混合主食。
鲜肉包,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,鲜肉包以麦面包肉馅蒸制，作为主食。
豆沙包,早餐,150,两个约150g,蒸制,甜味,待审核,组合组成项,主食,麦及制品|杂豆,豆沙包以麦面包豆沙馅蒸制，作为主食。
流沙包,早餐,150,两个约150g,蒸制,甜味,待审核,组合组成项,主食,麦及制品|蛋类,流沙包以麦面包蛋黄馅蒸制，作为主食。
灌汤包,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,灌汤包以麦面包汤肉馅蒸制，作为主食。
葱油花卷,早餐,100,一个/份约100g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品,花卷以麦面蒸制，作为主食。
刀切馒头,早餐,100,一个/份约100g,蒸制,原味,待审核,组合组成项,主食,麦及制品,馒头以麦面蒸制，作为主食。
红糖馒头,早餐,100,一个/份约100g,蒸制,甜味,待审核,组合组成项,主食,麦及制品,红糖馒头以麦面蒸制，作为主食。
玉米窝窝头,早餐,100,一个/份约100g,蒸制,原味,待审核,组合组成项,主食,其他谷物,窝窝头以玉米面蒸制，作为主食。
糯米烧麦,早餐,150,一份约150g（3个）,蒸制,咸鲜,待审核,组合组成项,主食,米及制品,糯米烧麦以麦皮包糯米馅蒸制，作为主食。
鲜肉锅贴,早餐,150,一份约150g（6个）,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,锅贴以麦面包肉馅煎制，作为主食。
韭菜鸡蛋锅贴,早餐,150,一份约150g（6个）,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|叶菜|蛋类,韭菜鸡蛋锅贴以麦面包馅煎制，作为主食。
葱油饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,葱油饼以麦面烙制，作为主食。
鸡蛋灌饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|蛋类,鸡蛋灌饼以麦面灌蛋烙制，作为主食。
酱香饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,酱香饼以麦面烙酱，作为主食。
红糖发糕,早餐,100,一份约100g,蒸制,甜味,待审核,组合组成项,其他配菜,米及制品,发糕以米浆蒸制，作为点心。
玉米发糕,早餐,100,一份约100g,蒸制,原味,待审核,组合组成项,主食,其他谷物,发糕以玉米面蒸制，作为主食。
桂花米糕,早餐,100,一份约100g,蒸制,甜味,待审核,组合组成项,其他配菜,米及制品,米糕以米粉蒸制，作为点心。
麻团,早餐,100,一份约100g，作为小吃,油炸,甜味,待审核,组合组成项,其他配菜,米及制品|种子,麻团以糯米裹芝麻炸制，作为点心。
南瓜饼,早餐,150,一份约150g,煎制,甜味,待审核,组合组成项,其他配菜,瓜茄类,南瓜饼以南瓜泥煎制，作为点心。
萝卜丝饼,早餐,150,一份约150g,煎制,咸鲜,待审核,组合组成项,其他配菜,根菜|麦及制品,萝卜丝饼以萝卜丝麦面煎制，作为点心。
土豆丝饼,早餐,150,一份约150g,煎制,咸鲜,待审核,组合组成项,其他配菜,薯类|麦及制品,土豆丝饼以土豆丝麦面煎制，作为点心。
糖油饼,早餐,100,一份约100g，作为小吃,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品,糖油饼以麦面油炸裹糖，作为点心。
茶叶蛋,早餐,100,两个约100g,煮制,五香,待审核,组合组成项,蛋白质,蛋类,茶叶蛋以蛋卤制，作为蛋白质小吃。
卤蛋,早餐,100,两个约100g,煮制,咸鲜,待审核,组合组成项,蛋白质,蛋类,卤蛋以蛋卤制，作为蛋白质小吃。
荷包蛋,早餐,100,两个约100g,煎制,原味,待审核,组合组成项,蛋白质,蛋类,荷包蛋以蛋煎制，作为蛋白质菜肴。
咸豆腐脑,早餐,250,一碗约250g,煮制,咸鲜,待审核,组合组成项,汤羹,大豆及豆制品,豆腐脑以豆花浇卤，作为汤品小吃。
甜豆浆,早餐,250,一杯约250ml,煮制,甜味,待审核,组合组成项,饮品,植物替代饮品,豆浆以大豆磨浆，作为饮品。
原味酸奶,早餐,200,一杯约200ml,其他,原味,待审核,组合组成项,奶及替代品,奶及奶制品,酸奶以发酵奶制成，作为奶制品。
醪糟汤圆,早餐,250,一碗约250g（含汤）,煮制,甜味,待审核,组合组成项,主食,米及制品,醪糟汤圆以糯米汤圆煮甜汤，作为主食点心。
蛋酒,早餐,200,一碗约200ml,冲泡,甜味,待审核,组合组成项,饮品,蛋类,蛋酒以蛋液冲制，作为饮品。
鸡蛋饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|蛋类,鸡蛋饼以麦面蛋液烙制，作为主食。
溏心蛋,早餐,100,两个约100g,煎制,原味,待审核,组合组成项,蛋白质,蛋类,溏心蛋以蛋煮至半熟，作为蛋白质小吃。
车仔面,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,麦及制品,车仔面以面条配杂料，作为整餐混合主食。
鲜虾云吞,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核,组合组成项,主食,麦及制品|虾蟹贝类,云吞以麦皮包虾馅煮制，作为主食点心。
红油抄手,早餐,250,一碗约250g（含汤）,煮制,香辣,待审核,整餐候选,混合主餐,麦及制品|畜肉,抄手以麦皮包肉馅煮制浇红油，作为整餐混合主食。
牛肉肠粉,早餐,200,一份约200g,蒸制,咸鲜,待审核,组合组成项,主食,米及制品|畜肉,肠粉以米浆制皮包牛肉馅，作为主食。
叉烧肠粉,早餐,200,一份约200g,蒸制,咸鲜,待审核,组合组成项,主食,米及制品|畜肉,肠粉以米浆制皮包叉烧，作为主食。
滑蛋肠粉,早餐,200,一份约200g,蒸制,咸鲜,待审核,组合组成项,主食,米及制品|蛋类,肠粉以米浆制皮包滑蛋，作为主食。
潮汕粿条,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,组合组成项,主食,米及制品,粿条以米条制成，作为主食。
砂锅粥,早餐,350,一碗约350g（含汤）,煮制,咸鲜,待审核,整餐候选,主食,米及制品,砂锅粥以米粥熬制，作为整餐主食。
及第粥,早餐,350,一碗约350g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,米及制品|畜肉|动物内脏,及第粥以米粥配肉丸杂肝，作为整餐混合主食。
竹升面,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,竹升面以面条煮制，作为整餐主食。
广式糯米鸡,早餐,200,一个约200g,蒸制,咸鲜,待审核,组合组成项,主食,米及制品|禽肉,糯米鸡以糯米裹鸡肉蒸制，作为主食。
水晶虾饺,早餐,120,一份约120g（4只）,蒸制,鲜香,待审核,组合组成项,主食,麦及制品|虾蟹贝类,虾饺以澄面皮包虾蒸制，作为主食点心。
火腿三明治,早餐,150,一份约150g,烤制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,三明治以面包夹火腿，作为主食。
鸡蛋吐司,早餐,150,一份约150g,烤制,甜味,待审核,组合组成项,主食,麦及制品|蛋类,吐司以面包蛋煎，作为主食。
牛角可颂,早餐,150,一份约150g,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品,可颂以麦面起酥烤制，作为点心。
原味贝果,早餐,150,一份约150g,烤制,甜味,待审核,组合组成项,主食,麦及制品,贝果以麦面煮烤，作为主食。
香蕉松饼,早餐,150,一份约150g,煎制,甜味,待审核,组合组成项,其他配菜,麦及制品|水果,松饼以麦面香蕉煎制，作为点心。
华夫饼,早餐,150,一份约150g,煎制,甜味,待审核,组合组成项,其他配菜,麦及制品,华夫饼以麦面烤模制成，作为点心。
铜锣烧,早餐,150,一份约150g,煎制,甜味,待审核,组合组成项,其他配菜,麦及制品|蛋类,铜锣烧以蛋面饼夹馅，作为点心。
米汉堡,早餐,150,一份约150g,烤制,咸鲜,待审核,组合组成项,主食,米及制品,米汉堡以米饼夹馅，作为主食。
芝士焗红薯,早餐,150,一份约150g,烤制,甜味,待审核,组合组成项,蔬菜,薯类|奶及奶制品,红薯以芝士焗烤，作为蔬菜小吃。
豆汁儿,早餐,250,一碗约250g（含汤）,煮制,原味,待审核,组合组成项,饮品,杂豆,豆汁以绿豆发酵成饮，作为饮品。
锅巴菜,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核,整餐候选,主食,杂豆,锅巴菜以绿豆面薄饼浇卤，作为早餐主食。
面线糊,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,面线糊以细面线煮糊，作为整餐主食。
锅边糊,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核,整餐候选,主食,米及制品,锅边糊以米浆煮制，作为整餐主食。
肉燕,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,肉燕以肉皮包肉馅煮制，作为主食点心。
扁肉拌面,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,麦及制品|畜肉,扁肉拌面以面条配扁肉拌制，作为整餐混合主食。
粿汁,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核,组合组成项,主食,米及制品,粿汁以米皮浇卤，作为主食。
猪红汤,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核,组合组成项,汤羹,畜肉,猪红汤以猪血煮汤，作为汤品。
豉汁凤爪,早餐,150,一份约150g（4只）,蒸制,咸鲜,待审核,组合组成项,蛋白质,禽肉,豉汁凤爪以禽肉为主要食材，作为蛋白质。
芋头糕,早餐,100,一份约100g,蒸制,咸鲜,待审核,组合组成项,其他配菜,薯类,芋头糕以芋头米浆蒸制，作为点心。
蛋挞,早餐,100,一份约100g,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品|蛋类,蛋挞以酥皮蛋液烤制，作为点心。
叉烧酥,早餐,100,一份约100g,烤制,咸鲜,待审核,组合组成项,其他配菜,麦及制品|畜肉,叉烧酥以酥皮包叉烧烤制，作为点心。
白粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,米及制品,白粥以大米熬粥，作为整餐主食。
南瓜小米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,瓜茄类|其他谷物,南瓜小米粥以小米南瓜熬粥，作为整餐主食。
玉米糊糊,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,其他谷物,玉米糊糊以玉米面熬煮，作为整餐主食。
麦片粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,其他谷物,麦片粥以燕麦片熬粥，作为整餐主食。
五谷豆浆,早餐,250,一杯约250ml,煮制,原味,待审核,组合组成项,饮品,植物替代饮品,五谷豆浆以多种谷物磨浆，作为饮品。
热牛奶,早餐,250,一杯约250ml,煮制,原味,待审核,组合组成项,饮品,奶及奶制品,牛奶以鲜奶加热，作为饮品。
蒸红薯,早餐,150,一份约150g，作为粗粮,蒸制,原味,待审核,组合组成项,蔬菜,薯类,红薯以蒸制，作为蔬菜。
蒸山药,早餐,150,一份约150g，作为粗粮,蒸制,原味,待审核,组合组成项,蔬菜,薯类,山药以蒸制，作为蔬菜。
蒸芋头,早餐,150,一份约150g，作为粗粮,蒸制,原味,待审核,组合组成项,蔬菜,薯类,芋头以蒸制，作为蔬菜。
茴香盒子,早餐,200,一个/份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,盒子以麦面夹馅烙制，作为主食。
油条,早餐,100,一份约100g，作为小吃,油炸,咸鲜,待审核,组合组成项,主食,麦及制品,油条以麦面油炸，作为主食。
麻花,早餐,100,一份约100g，作为小吃,油炸,甜味,待审核,组合组成项,主食,麦及制品,麻花以麦面油炸拧制，作为主食点心。
馓子,早餐,100,一份约100g，作为小吃,油炸,咸鲜,待审核,组合组成项,主食,麦及制品,馓子以麦面油炸成丝，作为主食点心。
烤红薯,早餐,150,一个约150g，作为粗粮,烤制,甜味,待审核,组合组成项,蔬菜,薯类,红薯以烤制，作为蔬菜小吃。
杂粮煎饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核,整餐候选,主食,麦及制品,煎饼以麦面杂粮摊制，作为整餐主食。
牛肉馅饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,馅饼以麦面包牛肉馅烙制，作为主食。
油茶,早餐,250,一碗约250g（含糊）,冲泡,咸鲜,待审核,组合组成项,饮品,麦及制品|坚果,油茶以面茶冲制，作为饮品。
甜豆腐脑,早餐,250,一碗约250g,煮制,甜味,待审核,组合组成项,汤羹,大豆及豆制品,豆腐脑以豆花浇糖水，作为汤品甜品。
紫薯馒头,早餐,100,一个/份约100g,蒸制,甜味,待审核,组合组成项,主食,麦及制品|薯类,紫薯馒头以麦面紫薯蒸制，作为主食。
麻酱花卷,早餐,100,一个/份约100g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品,花卷以麦面麻酱蒸制，作为主食。
广式烧鹅,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质,禽肉,烧鹅以鹅肉烤制，作为蛋白质菜肴。
蜜汁叉烧,晚餐,200,一份，可食部分约200g,烤制,甜味,待审核,组合组成项,蛋白质,畜肉,叉烧以猪肉烤制，作为蛋白质菜肴。
卤水拼盘,晚餐,250,一份约250g,煮制,五香,待审核,组合组成项,蛋白质,畜肉|禽肉,卤水拼盘以多种卤味组合，作为蛋白质菜肴。
潮汕卤鹅,晚餐,300,一份，可食部分约300g,煮制,五香,待审核,组合组成项,蛋白质,禽肉,卤鹅以鹅肉卤制，作为蛋白质菜肴。
隆江猪脚饭,午餐,350,一份约350g（含米饭）,炖煮,咸鲜,待审核,整餐候选,混合主餐,米及制品|畜肉,猪脚饭以米饭盖卤猪脚，作为整餐混合主食。
白灼鱿鱼,晚餐,200,一份约200g,煮制,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,白灼鱿鱼以虾蟹贝类为主要食材，作为蛋白质。
老火靓汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,畜肉,老火靓汤以多种食材慢炖，作为汤品。
花胶炖鸡汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,禽肉,花胶炖鸡汤以鸡肉炖汤，作为汤品。
西洋菜猪骨汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,叶菜|畜肉,西洋菜猪骨汤以菜叶猪骨煮汤，作为汤品。
粉葛鲮鱼汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,根菜|鱼类,粉葛鲮鱼汤以粉葛鱼煮汤，作为汤品。
五指毛桃鸡汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,禽肉,五指毛桃鸡汤以鸡肉炖汤，作为汤品。
冬瓜薏米鸭汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,瓜茄类|禽肉,冬瓜薏米鸭汤以鸭肉冬瓜煮汤，作为汤品。
猪肚鸡汤,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,畜肉|禽肉,猪肚鸡汤以猪肚鸡肉炖汤，作为汤品。
竹丝鸡汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,禽肉,竹丝鸡汤以乌鸡肉炖汤，作为汤品。
清蒸石斑鱼,晚餐,300,一份（整鱼），可食部分约300g,蒸制,鲜香,待审核,组合组成项,蛋白质,鱼类,石斑鱼以清蒸制成，作为蛋白质菜肴。
清蒸东星斑,晚餐,350,一份（整鱼），可食部分约350g,蒸制,鲜香,待审核,组合组成项,蛋白质,鱼类,东星斑以清蒸制成，作为蛋白质菜肴。
清蒸水蛋,晚餐,150,一份约150g,蒸制,咸鲜,待审核,组合组成项,蛋白质,蛋类,水蛋以蛋液蒸制，作为蛋白质菜肴。
蒜蓉粉丝蒸虾,晚餐,250,一份约250g（8-10只）,蒸制,蒜香,待审核,组合组成项,蛋白质,虾蟹贝类,蒸虾以虾配蒜蓉粉丝蒸制，作为蛋白质菜肴。
啫啫鸡煲,晚餐,300,一份，可食部分约300g,焖制,咸鲜,待审核,组合组成项,蛋白质,禽肉,啫啫鸡煲以鸡肉砂锅煲制，作为蛋白质菜肴。
啫啫生肠,晚餐,250,一份约250g,焖制,咸鲜,待审核,组合组成项,蛋白质,畜肉|动物内脏,生肠以猪肠砂锅啫制，作为蛋白质菜肴。
湿炒牛河,午餐,300,一份约300g,炒制,咸鲜,待审核,整餐候选,混合主餐,米及制品|畜肉,炒牛河以河粉配牛肉炒制，作为整餐混合主食。
避风塘虾,晚餐,200,一份约200g,油炸,香辣,待审核,组合组成项,蛋白质,虾蟹贝类,避风塘虾以虾炸制，作为蛋白质菜肴。
椒盐濑尿虾,晚餐,250,一份约250g（8-10只）,油炸,五香,待审核,组合组成项,蛋白质,虾蟹贝类,濑尿虾以椒盐炸制，作为蛋白质菜肴。
姜葱炒蟹,晚餐,300,一只/份，可食部分约300g,炒制,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,炒蟹以蟹姜葱炒，作为蛋白质菜肴。
滑蛋虾仁,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,虾蟹贝类|蛋类,滑蛋虾仁以虾配炒蛋，作为蛋白质菜肴。
豉汁炒花甲,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,虾蟹贝类,花甲以豆豉炒制，作为蛋白质菜肴。
苦瓜牛肉,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|瓜茄类,苦瓜牛肉以畜肉为主要食材，作为蛋白质。
芥兰炒牛肉,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|叶菜,芥兰炒牛肉以畜肉为主要食材，作为蛋白质。
菜心炒牛肉,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|叶菜,菜心炒牛肉以畜肉为主要食材，作为蛋白质。
腊味煲仔饭,午餐,350,一煲约350g,焖制,咸鲜,待审核,整餐候选,混合主餐,米及制品|畜肉,煲仔饭以米饭配腊味焗制，作为整餐混合主食。
咸鱼鸡粒炒饭,午餐,300,一份约300g,炒制,咸鲜,待审核,整餐候选,混合主餐,米及制品|鱼类|禽肉,炒饭以米饭配咸鱼鸡粒炒制，作为整餐混合主食。
生炒糯米饭,午餐,250,一份约250g,炒制,咸鲜,待审核,整餐候选,混合主餐,米及制品,糯米饭以糯米炒制，作为整餐混合主食。
干蒸烧卖,加餐,150,一份约150g（4只）,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品,烧卖以麦面皮蒸制，作为主食点心。
鸡仔饼,加餐,100,一份约100g，作为茶点,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品,鸡仔饼以麦面烤制，作为点心。
老婆饼,加餐,100,一个约100g，作为茶点,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品,老婆饼以麦面酥皮烤制，作为点心。
杏仁饼,加餐,80,一份约80g，作为茶点,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品|坚果,杏仁饼以麦面杏仁烤制，作为点心。
砵仔糕,加餐,100,一个约100g，作为茶点,蒸制,甜味,待审核,组合组成项,其他配菜,米及制品,砵仔糕以米浆蒸制，作为点心。
白糖糕,加餐,100,一份约100g，作为茶点,蒸制,甜味,待审核,组合组成项,其他配菜,米及制品,白糖糕以米浆蒸制，作为点心。
伦教糕,加餐,100,一份约100g，作为茶点,蒸制,甜味,待审核,组合组成项,其他配菜,米及制品,伦教糕以米浆发酵蒸制，作为点心。
咸水角,加餐,100,一个约100g，作为茶点,油炸,咸鲜,待审核,组合组成项,其他配菜,米及制品,咸水角以米面皮炸制，作为点心。
蛋散,加餐,100,一份约100g，作为茶点,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品|蛋类,蛋散以麦面蛋液油炸，作为点心。
笑口枣,加餐,80,一份约80g，作为茶点,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品,笑口枣以麦面油炸，作为点心。
牛脷酥,加餐,100,一个约100g，作为茶点,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品,牛脷酥以麦面油炸，作为点心。
油角,加餐,100,一个约100g，作为茶点,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品,油角以麦面油炸，作为点心。
煎堆,加餐,100,一个约100g，作为茶点,油炸,甜味,待审核,组合组成项,其他配菜,米及制品,煎堆以糯米粉炸制，作为点心。
潮汕牛肉火锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉,牛肉火锅以牛肉涮煮，作为整餐混合餐。
手打牛肉丸,晚餐,200,一份约200g（6-8颗）,煮制,咸鲜,待审核,组合组成项,蛋白质,畜肉,牛肉丸以牛肉制成，作为蛋白质小吃。
沙茶牛肉,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉,沙茶牛肉以牛肉沙茶炒制，作为蛋白质菜肴。
蚝烙,晚餐,200,一份约200g,煎制,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,蚝烙以牡蛎煎制，作为蛋白质菜肴。
普宁豆酱煮鱼,晚餐,300,一份（整鱼），可食部分约300g,煮制,咸鲜,待审核,组合组成项,蛋白质,鱼类,煮鱼以豆酱煮制，作为蛋白质菜肴。
生腌虾,晚餐,150,一份约150g,其他,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,生腌虾以虾腌制，作为蛋白质小菜。
生腌蟹,晚餐,150,一只/份，可食部分约150g,其他,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,生腌蟹以蟹腌制，作为蛋白质小菜。
生腌血蛤,晚餐,120,一份约120g,其他,鲜香,待审核,组合组成项,蛋白质,虾蟹贝类,生腌血蛤以贝类腌制，作为蛋白质小菜。
反沙芋头,加餐,150,一份约150g，作为甜点,油炸,甜味,待审核,组合组成项,其他配菜,薯类,反沙芋头以芋头裹糖霜，作为甜品点心。
客家盐焗鸡,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质,禽肉,盐焗鸡以鸡肉盐焗，作为蛋白质菜肴。
粉丝包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品,粉丝包以麦面包粉丝馅蒸制，作为主食。
梅干菜包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品,梅干菜包以麦面包菜馅蒸制，作为主食。
萝卜丝包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|根菜,萝卜丝包以麦面包萝卜馅蒸制，作为主食。
韭菜鸡蛋包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|叶菜|蛋类,韭菜鸡蛋包以麦面包馅蒸制，作为主食。
猪肉大葱包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉|叶菜,猪肉大葱包以麦面包肉馅蒸制，作为主食。
猪肉白菜包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉|叶菜,猪肉白菜包以麦面包肉馅蒸制，作为主食。
猪肉粉条包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,猪肉粉条包以麦面包肉馅蒸制，作为主食。
羊肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,羊肉包以麦面包羊肉馅蒸制，作为主食。
牛肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,牛肉包以麦面包牛肉馅蒸制，作为主食。
三鲜包子,早餐,150,两个约150g,蒸制,鲜香,待审核,组合组成项,主食,麦及制品,三鲜包以麦面包三鲜馅蒸制，作为主食。
虾仁包子,早餐,150,两个约150g,蒸制,鲜香,待审核,组合组成项,主食,麦及制品|虾蟹贝类,虾仁包以麦面包虾馅蒸制，作为主食。
香菇鸡肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|菌菇|禽肉,香菇鸡肉包以麦面包馅蒸制，作为主食。
豆角包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品,豆角包以麦面包豆角馅蒸制，作为主食。
酸菜包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|叶菜,酸菜包以麦面包酸菜馅蒸制，作为主食。
南瓜包子,早餐,150,两个约150g,蒸制,甜味,待审核,组合组成项,主食,麦及制品|瓜茄类,南瓜包以麦面包南瓜馅蒸制，作为主食。
酱肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,酱肉包以麦面包酱肉馅蒸制，作为主食。
卤肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,卤肉包以麦面包卤肉馅蒸制，作为主食。
鲜肉笋丁包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉|花茎类,鲜肉笋丁包以麦面包馅蒸制，作为主食。
荠菜包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|叶菜,荠菜包以麦面包荠菜馅蒸制，作为主食。
芹菜猪肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|叶菜|畜肉,芹菜猪肉包以麦面包馅蒸制，作为主食。
青菜香菇包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|叶菜|菌菇,青菜香菇包以麦面包馅蒸制，作为主食。
黑芝麻包子,早餐,150,两个约150g,蒸制,甜味,待审核,组合组成项,主食,麦及制品|种子,黑芝麻包以麦面包芝麻馅蒸制，作为主食。
枣泥包子,早餐,150,两个约150g,蒸制,甜味,待审核,组合组成项,主食,麦及制品|水果,枣泥包以麦面包枣泥馅蒸制，作为主食。
蟹黄包子,早餐,150,两个约150g,蒸制,鲜香,待审核,组合组成项,主食,麦及制品|虾蟹贝类,蟹黄包以麦面包蟹黄馅蒸制，作为主食。
肉末粉丝包子,早餐,150,两个约150g,蒸制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,肉末粉丝包以麦面包馅蒸制，作为主食。
腌笃鲜,晚餐,300,一碗约300g（含汤）,炖煮,咸鲜,待审核,组合组成项,汤羹,畜肉|花茎类,腌笃鲜以咸肉鲜肉笋片煮汤，作为汤品。
椒麻鸡,晚餐,250,一份约250g,凉拌,香辣,待审核,组合组成项,蛋白质,禽肉,椒麻鸡以鸡肉拌制，作为蛋白质菜肴。
东山羊,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质,畜肉,东山羊以羊肉烹制，作为蛋白质菜肴。
啤酒鱼,晚餐,350,一份（整鱼），可食部分约350g,焖制,香辣,待审核,组合组成项,蛋白质,鱼类,啤酒鱼以鱼啤酒炖煮，作为蛋白质菜肴。
老友粉,午餐,300,一碗约300g（含汤）,煮制,酸辣,待审核,整餐候选,混合主餐,米及制品|畜肉,老友粉以米粉配肉料煮制，作为整餐混合主食。
